Position Number	# Reads at this Position	#A	%A	#C	%C	#G	%G	#T	%T	#N	%N
1	100000	33136	33.14	18759	18.76	21785	21.79	25987	25.99	333	0.33
2	100000	32288	32.29	18524	18.52	19692	19.69	29496	29.50	0	0.00
3	100000	31268	31.27	18263	18.26	19399	19.40	31070	31.07	0	0.00
4	100000	31262	31.26	18182	18.18	19395	19.39	31161	31.16	0	0.00
5	100000	31547	31.55	17945	17.95	19342	19.34	31166	31.17	0	0.00
6	100000	31377	31.38	19610	19.61	19518	19.52	29495	29.50	0	0.00
7	100000	30569	30.57	18987	18.99	19151	19.15	31293	31.29	0	0.00
8	100000	30854	30.85	19726	19.73	19322	19.32	30098	30.10	0	0.00
9	100000	30185	30.18	19837	19.84	19341	19.34	30637	30.64	0	0.00
10	100000	30837	30.84	19885	19.89	19664	19.66	29614	29.61	0	0.00
11	100000	30865	30.86	19163	19.16	19375	19.38	30597	30.60	0	0.00
12	100000	30741	30.74	19229	19.23	19163	19.16	30867	30.87	0	0.00
13	100000	30628	30.63	19166	19.17	19171	19.17	31035	31.04	0	0.00
14	100000	30725	30.73	19475	19.48	19022	19.02	30778	30.78	0	0.00
15	100000	30529	30.53	19599	19.60	18817	18.82	31055	31.05	0	0.00
16	100000	30231	30.23	19893	19.89	19386	19.39	30490	30.49	0	0.00
17	100000	30658	30.66	19494	19.49	19579	19.58	30269	30.27	0	0.00
18	100000	30256	30.26	20108	20.11	19767	19.77	29869	29.87	0	0.00
19	100000	30873	30.87	19502	19.50	19747	19.75	29878	29.88	0	0.00
20	100000	30748	30.75	19275	19.27	19848	19.85	30129	30.13	0	0.00
21	100000	30493	30.49	19299	19.30	20016	20.02	30192	30.19	0	0.00
22	100000	30737	30.74	19305	19.30	19603	19.60	30355	30.36	0	0.00
23	100000	30474	30.47	19253	19.25	19515	19.52	30758	30.76	0	0.00
24	100000	30852	30.85	19389	19.39	19545	19.55	30214	30.21	0	0.00
25	100000	30434	30.43	19511	19.51	19722	19.72	30333	30.33	0	0.00
26	100000	30621	30.62	19537	19.54	19481	19.48	30347	30.35	14	0.01
27	100000	30316	30.32	19269	19.27	20016	20.02	30371	30.37	28	0.03
28	100000	30269	30.27	19687	19.69	19804	19.80	30220	30.22	20	0.02
29	100000	30696	30.70	19163	19.16	20422	20.42	29653	29.65	66	0.07
30	100000	30286	30.29	19658	19.66	19838	19.84	30147	30.15	71	0.07
31	100000	30169	30.17	19294	19.29	20093	20.09	30383	30.38	61	0.06
32	100000	30674	30.67	18989	18.99	19850	19.85	30487	30.49	0	0.00
33	100000	30420	30.42	19460	19.46	19747	19.75	30373	30.37	0	0.00
34	100000	30666	30.67	19446	19.45	19587	19.59	30301	30.30	0	0.00
35	100000	30354	30.35	19407	19.41	19578	19.58	30661	30.66	0	0.00
36	100000	30101	30.10	19975	19.98	19585	19.59	30339	30.34	0	0.00
37	100000	30348	30.35	19769	19.77	19894	19.89	29989	29.99	0	0.00
38	100000	30236	30.24	19804	19.80	20152	20.15	29808	29.81	0	0.00
39	100000	30310	30.31	19534	19.53	20279	20.28	29877	29.88	0	0.00
40	100000	30292	30.29	19602	19.60	20033	20.03	30007	30.01	66	0.07
41	100000	30806	30.81	19431	19.43	20015	20.02	29673	29.67	75	0.07
42	100000	30487	30.49	19397	19.40	19684	19.68	30308	30.31	124	0.12
43	100000	30291	30.29	19269	19.27	19964	19.96	30354	30.35	122	0.12
44	100000	30521	30.52	19537	19.54	19515	19.52	30394	30.39	33	0.03
45	100000	30533	30.53	19577	19.58	19454	19.45	30338	30.34	98	0.10
46	100000	30422	30.42	19705	19.70	19693	19.69	30095	30.09	85	0.09
47	100000	30382	30.38	19428	19.43	19893	19.89	30226	30.23	71	0.07
48	100000	30208	30.21	19431	19.43	20315	20.32	29975	29.98	71	0.07
49	100000	30285	30.29	19534	19.53	20768	20.77	29342	29.34	71	0.07
50	100000	30443	30.44	19427	19.43	20191	20.19	29881	29.88	58	0.06
51	100000	30361	30.36	19481	19.48	19971	19.97	30065	30.07	122	0.12
52	100000	30594	30.59	19281	19.28	19880	19.88	30121	30.12	124	0.12
53	100000	30545	30.55	19369	19.37	19901	19.90	30008	30.01	177	0.18
54	100000	30434	30.43	19524	19.52	19638	19.64	30209	30.21	195	0.20
55	100000	30504	30.50	19713	19.71	19664	19.66	30026	30.03	93	0.09
