Position Number	# Reads at this Position	Avg Quality at this Position
1	100000	32.27
2	100000	32.73
3	100000	32.85
4	100000	36.26
5	100000	36.14
6	100000	36.21
7	100000	36.24
8	100000	36.27
9	100000	38.06
10	100000	38.11
11	100000	38.09
12	100000	38.05
13	100000	38.06
14	100000	39.60
15	100000	39.53
16	100000	39.50
17	100000	39.48
18	100000	39.39
19	100000	39.36
20	100000	39.27
21	100000	39.23
22	100000	39.17
23	100000	39.08
24	100000	39.02
25	100000	38.92
26	100000	38.77
27	100000	38.65
28	100000	38.49
29	100000	38.36
30	100000	38.24
31	100000	38.05
32	100000	37.90
33	100000	37.79
34	100000	37.61
35	100000	37.96
36	100000	38.11
37	100000	38.21
38	100000	38.19
39	100000	38.14
40	100000	38.06
41	100000	38.02
42	100000	37.93
43	100000	37.86
44	100000	37.73
45	100000	37.65
46	100000	37.53
47	100000	37.45
48	100000	37.36
49	100000	37.28
50	100000	37.06
51	100000	37.04
52	100000	37.00
53	100000	36.83
54	100000	36.71
55	100000	36.55
56	100000	36.39
57	100000	36.28
58	100000	36.15
59	100000	35.93
60	100000	35.77
61	100000	35.52
62	100000	35.40
63	100000	35.22
64	100000	35.08
65	100000	34.86
66	100000	34.62
67	100000	34.41
68	100000	34.20
69	100000	33.97
70	100000	33.68
71	100000	33.44
72	100000	33.08
73	100000	32.87
74	100000	32.58
75	100000	32.15
76	100000	27.53
77	100000	29.88
78	100000	31.21
79	100000	31.61
80	100000	31.62
81	100000	31.44
82	100000	31.25
83	100000	30.99
84	100000	30.68
85	100000	30.43
86	100000	30.14
87	100000	29.86
88	100000	29.64
89	100000	29.41
90	100000	29.15
91	100000	28.88
92	100000	28.66
93	100000	28.35
94	100000	28.12
95	100000	27.81
96	100000	27.40
97	100000	27.12
98	100000	26.74
99	100000	26.43
100	100000	26.04
101	100000	25.52
102	100000	24.94
103	100000	22.40
