Organism	Chromosome	Contig	Gene_Name	Strand_Orientation	Start	End

Homo sapiens 	X 	NT_086925 	LOC728880 	+ 	9624 	10037
Homo sapiens 	X 	NT_078115 	CXYorf11 	+ 	25589 	27891
Homo sapiens 	X 	NT_078115 	PLCXD1 	+ 	48170 	75199
Homo sapiens 	X 	NT_078115 	GTPBP6 	- 	76605 	86066
Homo sapiens 	X 	NT_028413 	PPP2R3B 	- 	13586 	66243
Homo sapiens 	X 	NT_028413 	LOC728949 	+ 	298285 	298716
Homo sapiens 	X 	NT_028413 	SHOX 	+ 	303695 	338762
Homo sapiens 	X 	NT_028413 	LOC728993 	- 	659955 	660791
Homo sapiens 	X 	NT_028413 	LOC442442 	- 	682140 	689452
Homo sapiens 	X 	NT_011651 	FGF16 	+ 	5956 	8321
Homo sapiens 	X 	NT_011651 	ATRX 	- 	57499 	338010
Homo sapiens 	X 	NT_011651 	DKFZp564K142 	- 	378169 	447235
Homo sapiens 	X 	NT_011651 	COX7B 	+ 	451269 	457189
Homo sapiens 	X 	NT_011651 	ATP7A 	+ 	462507 	601747
Homo sapiens 	X 	NT_011651 	LOC642277 	+ 	481929 	514651
Homo sapiens 	X 	NT_011651 	PGAM4 	- 	519766 	521443
Homo sapiens 	X 	NT_011651 	PGK1 	+ 	656077 	678632
Homo sapiens 	X 	NT_011651 	TAF9B 	- 	681553 	691487
Homo sapiens 	X 	NT_011651 	LOC727814 	+ 	752540 	755385
Homo sapiens 	X 	NT_011651 	CYSLTR1 	- 	824438 	879395
Homo sapiens 	X 	NT_011651 	ZCCHC5 	- 	1207874 	1211133
Homo sapiens 	X 	NT_011651 	GPR23 	+ 	1306609 	1308901
Homo sapiens 	X 	NT_011651 	P2RY10 	+ 	1497137 	1513746
Homo sapiens 	X 	NT_011651 	LOC449518 	+ 	1636876 	1637100
Homo sapiens 	X 	NT_011651 	GPR174 	+ 	1722777 	1724034
Homo sapiens 	X 	NT_011651 	LOC347363 	+ 	1817277 	1876618
Homo sapiens 	X 	NT_011651 	ITM2A 	- 	1912189 	1919355
Homo sapiens 	X 	NT_011651 	TBX22 	+ 	2574050 	2583576
Homo sapiens 	X 	NT_011651 	FAM46D 	+ 	2972273 	2997118
Homo sapiens 	X 	NT_011651 	LOC727874 	+ 	3112355 	3112921
Homo sapiens 	X 	NT_011651 	LOC347364 	+ 	3113583 	3113864
Homo sapiens 	X 	NT_011651 	LOC642546 	- 	3123678 	3126414
Homo sapiens 	X 	NT_011651 	BRWD3 	- 	3228003 	3361541
Homo sapiens 	X 	NT_011651 	LOC642585 	+ 	3481242 	3483021
Homo sapiens 	X 	NT_011651 	NSBP1 	- 	3665508 	3673424
Homo sapiens 	X 	NT_011651 	SH3BGRL 	+ 	3753930 	3850354
