Mouse Refseq-id	Human Refseq-id	Length of Mouse Gene	Length of Human Gene	Alignment-length	Bit-score	E-score
NM_010877.4	NM_000433.2	2596	2406	1595	1535	0.0
NM_009653.3	NM_000032.2	1983	1941	1931	2167	0.0
NM_009653.3	NM_001037969.1	1983	1745	1700	1919	0.0
NM_009653.3	NM_001037968.1	1983	1937	1451	1757	0.0
NM_009653.3	NM_001037967.1	1983	1830	1451	1757	0.0
NM_023113.4	NM_000049.2	1534	1435	989	1062	0.0
NM_011183.1	NM_000447.2	1954	2302	1467	1735	0.0
NM_011183.1	NM_012486.2	1954	2299	1467	1714	0.0
NM_010323.1	NM_000406.2	1220	5843	1042	1055	0.0
NM_009029.1	NM_000321.2	4591	4772	2909	3373	0.0
NM_007382.4	NM_000016.2	1845	2192	1285	1134	0.0
